total 0.60	 0.03	 0.38	 0.05	 0.00	 -36.67	
DE    0.54	 0.06	 0.27	 0.07	 0.00	 -50.00	
ES    0.77	 0.05	 0.61	 0.06	 0.00	 -20.78	
FR    0.80	 0.02	 0.31	 0.05	 0.00	 -61.25	
IE    0.27	 0.05	 0.31	 0.08	 0.00	 14.81	
IT    0.73	 0.03	 0.64	 0.03	 0.00	 -12.33	
PT    0.48	 0.04	 0.13	 0.03	 0.00	 -72.92	
bonds 0.25	 0.06	 0.24	 0.02	 0.02	 -4.00	

total 0.54	 0.04	 0.15	 0.03	 0.00	 -72.22	
DE    0.45	 0.04	 0.07	 0.04	 0.00	 -84.44	
ES    0.60	 0.06	 0.16	 0.07	 0.00	 -73.33	
FR    0.45	 0.07	 0.18	 0.05	 0.00	 -60.00	
IE    0.57	 0.09	 0.12	 0.05	 0.00	 -78.95	
IT    0.56	 0.03	 0.12	 0.03	 0.00	 -78.57	
PT    0.60	 0.04	 0.25	 0.07	 0.00	 -58.33	
